"ID","LATITUDE","LONGITUDE","DATE","ALTITUDE"
"105484153","44.28461","3.22415","2021-06-15","581.48"
"105558914","44.27839","3.83562","2021-06-17","606.55"
"105795759","44.27879","3.83367","2021-06-24","619.16"
"106022101","44.27856","3.83293","2021-07-01","614.37"
"106058791","44.2794","3.83278","2021-07-02","648.96"
"106150727","44.44942","3.93048","2021-07-05","609.01"
"107161059","44.53413","4.11424","2021-07-25","627.13"
"119038743","44.30502","3.32029","2022-05-26","486.52"
"119212861","43.77827","3.11333","2022-05-29","621.78"
"119212905","43.80952","3.16475","2022-05-28","468.58"
"119437272","44.43928","3.21711","2022-06-02","582.4"
"119821190","44.43914","3.21715","2022-06-10","580.83"
"133606696","45.20981","4.7923","2023-06-15","302.06"
"133606698","45.2101","4.79236","2023-06-15","310.93"
"133606700","45.20982","4.793","2023-06-15","291.48"
"133606709","45.20981","4.79338","2023-06-15","282.23"
"133606713","45.20938","4.794","2023-06-15","257.06"
"133606715","45.20986","4.79441","2023-06-15","279.92"
"133636274","45.20893","4.79202","2023-06-16","256.58"
"133636276","45.20912","4.79328","2023-06-16","260.21"
"133636281","45.21009","4.79367","2023-06-16","292.83"
"133636285","45.20933","4.79398","2023-06-16","254.81"
"133636288","45.20982","4.79454","2023-06-16","279.49"
"133636290","45.20956","4.7935","2023-06-16","269.82"
"133636292","45.21088","4.79166","2023-06-16","333.85"
"134793626","44.04108","3.61146","2023-07-16","954.16"
"134996054","43.53452","6.67727","2023-07-23","238.4"
"143114872","44.47216","3.17659","2013-07-16","673.83"
"153879144","44.32871","3.91467","2024-07-28","486.14"
"59477355","44.27825","3.22266","2017-06-02","644.75"
"59811820","44.28459","3.22405","2017-06-16","582.93"
"59811842","44.29049","3.21812","2017-06-16","881.73"
"60087717","44.00273","3.84139","2017-07-01","413.99"
"60214174","44.47166","3.18577","2017-07-07","715.13"
"69333300","44.28432","3.22462","2018-06-06","571.19"
"69333423","43.80534","3.12919","2018-06-06","484.91"
"69552262","44.46624","3.19111","2018-06-14","605.94"
"69631502","44.34568","3.39178","2018-06-17","487.38"
"69662333","44.18482","3.43476","2018-06-18","750.17"
"69719489","44.43879","3.21731","2018-06-20","577.83"
"69955209","44.46615","3.18941","2018-06-29","619.23"
"79981851","44.44044","3.21848","2019-06-24","596.93"
"80099641","44.43747","3.21631","2019-06-28","593.11"
"83922967","45.2789","6.36049","2018-06-27","530.38"
"83923047","45.27429","6.3799","2018-06-27","940.48"
"83923052","45.2729","6.38246","2018-06-27","899.41"
"83923053","45.27222","6.38201","2018-06-27","832.47"
"83923063","45.27074","6.38414","2018-06-27","798.77"
"83923098","45.26716","6.39042","2018-06-27","732.46"
"83923151","45.25851","6.40297","2018-06-27","694.18"
"83923191","45.26088","6.403","2018-06-27","720.48"
