"ID","LATITUDE","LONGITUDE","DATE","ALTITUDE"
"69719489","44.43879","3.21731","2018-06-20",""
"105795759","44.27879","3.83367","2021-06-24",""
"79981851","44.44044","3.21848","2019-06-24",""
"119821190","44.43914","3.21715","2022-06-10",""
"133606709","45.20981","4.79338","2023-06-15",""
"133606715","45.20986","4.79441","2023-06-15",""
"133636276","45.20912","4.79328","2023-06-16",""
"105558914","44.27839","3.83562","2021-06-17",""
"60214174","44.47166","3.18577","2017-07-07",""
"69631502","44.34568","3.39178","2018-06-17",""
"153879144","44.32871","3.91467","2024-07-28",""
"59477355","44.27825","3.22266","2017-06-02",""
"119038743","44.30502","3.32029","2022-05-26",""
"133606698","45.2101","4.79236","2023-06-15",""
"119212861","43.77827","3.11333","2022-05-29",""
"133606700","45.20982","4.793","2023-06-15",""
"119212905","43.80952","3.16475","2022-05-28",""
"133636285","45.20933","4.79398","2023-06-16",""
"143114872","44.47216","3.17659","2013-07-16",""
"133636292","45.21088","4.79166","2023-06-16",""
"106058791","44.2794","3.83278","2021-07-02",""
"69662333","44.18482","3.43476","2018-06-18",""
"83923047","45.27429","6.3799","2018-06-27",""
"106150727","44.44942","3.93048","2021-07-05",""
"133606713","45.20938","4.794","2023-06-15",""
"133636274","45.20893","4.79202","2023-06-16",""
"134996054","43.53452","6.67727","2023-07-23",""
"83923098","45.26716","6.39042","2018-06-27",""
"133636290","45.20956","4.7935","2023-06-16",""
"69333300","44.28432","3.22462","2018-06-06",""
"83923191","45.26088","6.403","2018-06-27",""
"133606696","45.20981","4.7923","2023-06-15",""
"59811820","44.28459","3.22405","2017-06-16",""
"83923063","45.27074","6.38414","2018-06-27",""
"60087717","44.00273","3.84139","2017-07-01",""
"59811842","44.29049","3.21812","2017-06-16",""
"107161059","44.53413","4.11424","2021-07-25",""
"119437272","44.43928","3.21711","2022-06-02",""
"106022101","44.27856","3.83293","2021-07-01",""
"83923052","45.2729","6.38246","2018-06-27",""
"133636288","45.20982","4.79454","2023-06-16",""
"83922967","45.2789","6.36049","2018-06-27",""
"134793626","44.04108","3.61146","2023-07-16",""
"80099641","44.43747","3.21631","2019-06-28",""
"83923151","45.25851","6.40297","2018-06-27",""
"133636281","45.21009","4.79367","2023-06-16",""
"69955209","44.46615","3.18941","2018-06-29",""
"83923053","45.27222","6.38201","2018-06-27",""
"69552262","44.46624","3.19111","2018-06-14",""
"69333423","43.80534","3.12919","2018-06-06",""
"105484153","44.28461","3.22415","2021-06-15",""
