"ID","LATITUDE","LONGITUDE","DATE","ALTITUDE"
"120211407","45.58058","4.73068","2022-06-19","218.2"
"120211423","45.58035","4.73057","2022-06-19","206.31"
"120211424","45.58074","4.73076","2022-06-19","227.46"
"120211425","45.58138","4.731","2022-06-19","251.42"
"120211426","45.58152","4.73078","2022-06-19","254.35"
"120211427","45.58042","4.73098","2022-06-19","210.89"
"132702849","43.77779","3.11354","2023-05-28","617.27"
"134337338","44.27855","3.83509","2023-07-04","612.16"
"134337362","44.29296","3.8641","2023-07-04","643.25"
"134396786","44.27496","3.84216","2023-07-06","557.71"
"135102323","43.75932","3.28156","2023-07-28","469.38"
"135122400","43.75045","3.0851","2023-07-29","435.6"
"135122401","43.70821","3.04627","2023-07-29","637.82"
"135122403","43.70762","3.0478","2023-07-29","630.24"
"135122421","43.69526","3.03355","2023-07-29","768.77"
"147848639","43.98957","3.65055","2024-06-30","327.02"
"148252024","44.29628","4.08293","2020-06-26","272.29"
"148321684","43.76674","3.13731","2024-07-27","635.46"
"148321775","43.75946","3.13457","2024-07-27","586.24"
"148842416","43.75801","3.13033","2024-08-16","557.13"
"161308547","43.99972","3.66991","2025-07-05","243.04"
"161308548","43.98966","3.64918","2025-07-05","291.01"
"60087623","43.98968","3.84222","2017-07-01","293.47"
"60400197","44.2991","4.00363","2017-07-12","323.37"
"60400210","44.29806","4.00392","2017-07-12","323.77"
"70010600","44.25098","4.09574","2018-06-30","323.42"
"70678489","44.32355","3.96156","2018-06-26","324.36"
"83923647","45.52352","4.57788","2018-06-26","351.05"
"83923655","45.52215","4.58068","2018-06-26","330.29"
"83923678","45.52179","4.59057","2018-06-26","251.89"
"83923690","45.52288","4.58322","2018-06-26","276.99"
"83923742","45.52646","4.57702","2018-06-26","286.03"
"83923757","45.52971","4.57177","2018-06-26","319.18"
"83923761","45.53098","4.56862","2018-06-26","310.83"
"83923771","45.52693","4.5789","2018-06-26","315.43"
"83923775","45.52816","4.58184","2018-06-26","338.04"
"83923788","45.52871","4.58234","2018-06-26","349.47"
"83923806","45.52807","4.57983","2018-06-26","345.66"
"83923808","45.52844","4.57955","2018-06-26","359"
"83923831","45.52817","4.57872","2018-06-26","357.61"
"83923872","45.53202","4.57643","2018-06-26","388.17"
"83923875","45.5323","4.57727","2018-06-26","389.21"
